transaction_id,reconciliation_status,matched_payout_id,reconciliation_date,last_reviewed,notes
TXN0019579,Reconciled,PO0053041,2025-08-17,,
TXN0019580,Reconciled,PO0091606,2023-06-02,,
TXN0019581,Partially Reconciled,PO0026943,2023-02-20,2023-09-07,
TXN0019582,Pending Reconciliation,,,2025-01-25,
TXN0019583,Reconciled,,2024-09-01,,
TXN0019584,Pending Reconciliation,,,,Missing supporting documents
TXN0019585,Unreconciled,,,,Missing supporting documents
TXN0019586,Partially Reconciled,PO0054937,2023-11-26,2024-12-15,
TXN0019587,Reconciled,PO0063987,2024-11-21,,
TXN0019588,Reconciled,,2023-05-14,2025-07-16,
TXN0019589,Partially Reconciled,PO0040178,2025-11-06,2025-11-27,
TXN0019590,Reconciled,,2025-07-03,,
TXN0019591,Partially Reconciled,PO0079411,2024-10-31,2024-11-20,
TXN0019592,Reconciled,,2024-02-01,2025-02-18,
TXN0019593,Reconciled,PO0054652,2025-09-23,2025-12-01,
TXN0019594,Reconciled,PO0027187,2023-06-03,2024-03-20,
TXN0019595,Partially Reconciled,,2023-04-12,,
TXN0019596,Unreconciled,,,2025-01-05,Amount mismatch
TXN0019597,Reconciled,PO0033332,2025-08-11,2024-04-02,
TXN0019598,Unreconciled,,,,Amount mismatch
TXN0019599,Pending Reconciliation,,,,Pending bank confirmation
TXN0019600,Partially Reconciled,PO0020455,2025-05-05,2023-09-03,
TXN0019601,Reconciled,,2024-12-26,2025-10-23,
TXN0019602,Pending Reconciliation,,,,
TXN0019603,Partially Reconciled,,2025-02-19,,
TXN0019604,Reconciled,,2025-10-02,,
TXN0019605,Reconciled,PO0040929,2024-04-13,,
TXN0019606,Reconciled,,2023-03-25,2025-09-21,
TXN0019607,Reconciled,,2025-06-28,2024-05-11,
TXN0019608,Reconciled,PO0024956,2025-07-29,2023-03-10,
TXN0019609,Reconciled,,2025-12-07,2025-05-05,
TXN0019610,Reconciled,PO0008800,2025-12-06,,
TXN0019611,Partially Reconciled,PO0048851,2023-01-07,2025-08-15,
TXN0019612,Partially Reconciled,,2023-08-17,2024-10-17,
TXN0019613,Reconciled,,2025-07-13,,
TXN0019614,Reconciled,PO0068927,2024-03-06,2023-10-27,
TXN0019615,Partially Reconciled,,2025-11-25,2025-05-24,
TXN0019616,Reconciled,PO0058918,2023-10-29,,
TXN0019617,Partially Reconciled,,2025-01-03,,
TXN0019618,Partially Reconciled,PO0030295,2023-10-26,2024-03-29,
TXN0019619,Reconciled,,2024-06-12,,
TXN0019620,Reconciled,,2023-02-11,,
TXN0019621,Reconciled,,2023-09-29,,
TXN0019622,Reconciled,PO0028555,2023-12-15,,
TXN0019623,Reconciled,PO0009871,2023-09-02,2024-11-13,
TXN0019624,Partially Reconciled,PO0042870,2024-09-30,,
TXN0019625,Reconciled,PO0063696,2024-11-26,2025-10-18,
TXN0019626,Reconciled,,2023-01-11,2025-06-27,
TXN0019627,Partially Reconciled,PO0061319,2025-12-13,,
TXN0019628,Partially Reconciled,PO0088140,2025-01-13,2025-06-28,
TXN0019629,Partially Reconciled,,2025-06-27,2023-10-28,
TXN0019630,Reconciled,,2025-04-01,2025-07-06,
TXN0019631,Partially Reconciled,,2023-10-22,2023-04-26,
TXN0019632,Reconciled,,2023-07-30,,
TXN0019633,Pending Reconciliation,,,2023-04-11,Pending bank confirmation
TXN0019634,Partially Reconciled,PO0015845,2025-05-27,,
TXN0019635,Pending Reconciliation,,,2023-12-16,Awaiting vendor documentation
TXN0019636,Pending Reconciliation,,,,Pending bank confirmation
TXN0019637,Reconciled,PO0077397,2025-08-14,2025-01-04,
TXN0019638,Reconciled,,2025-11-08,2023-06-27,
TXN0019639,Partially Reconciled,PO0054925,2025-04-09,2024-10-25,
TXN0019640,Reconciled,,2025-02-03,2023-08-29,
TXN0019641,Unreconciled,,,2024-01-05,Missing supporting documents
TXN0019642,Pending Reconciliation,,,2024-10-01,Pending bank confirmation
TXN0019643,Partially Reconciled,PO0088323,2023-07-20,,
TXN0019644,Reconciled,,2024-03-18,,
TXN0019645,Reconciled,,2024-03-28,,
TXN0019646,Unreconciled,,,,Missing supporting documents
TXN0019647,Unreconciled,,,2024-01-28,
TXN0019648,Reconciled,,2023-11-13,2023-03-07,
TXN0019649,Reconciled,,2023-07-02,,
TXN0019650,Reconciled,,2024-06-02,,
TXN0019651,Pending Reconciliation,,,2025-07-01,Missing supporting documents
TXN0019652,Partially Reconciled,PO0072922,2024-06-23,,
TXN0019653,Reconciled,PO0003669,2024-03-23,,
TXN0019654,Pending Reconciliation,,,,Missing supporting documents
TXN0019655,Partially Reconciled,,2025-12-31,2024-12-29,
TXN0019656,Pending Reconciliation,,,2023-10-09,Missing supporting documents
TXN0019657,Reconciled,PO0037072,2023-11-29,2023-03-05,
TXN0019658,Reconciled,,2025-03-08,2024-08-12,
TXN0019659,Reconciled,PO0059267,2025-09-29,,
TXN0019660,Reconciled,,2025-01-18,2025-11-15,
TXN0019661,Reconciled,,2023-02-20,2023-08-14,
TXN0019662,Reconciled,,2024-02-13,,
TXN0019663,Reconciled,,2024-05-24,,
TXN0019664,Reconciled,PO0073847,2024-11-04,2025-09-07,
TXN0019665,Reconciled,PO0000735,2023-01-13,2025-08-19,
TXN0019666,Pending Reconciliation,,,2023-12-29,
TXN0019667,Reconciled,PO0083838,2024-11-24,2025-03-25,
TXN0019668,Reconciled,PO0043371,2023-06-01,2024-06-09,
TXN0019669,Partially Reconciled,,2023-06-21,2023-03-17,
TXN0019670,Reconciled,,2024-10-12,2025-08-14,
TXN0019671,Reconciled,PO0088011,2025-10-27,2023-04-25,
TXN0019672,Partially Reconciled,PO0024281,2023-09-23,,
TXN0019673,Pending Reconciliation,,,2023-05-20,Pending bank confirmation
TXN0019674,Unreconciled,,,,Amount mismatch
TXN0019675,Unreconciled,,,2023-01-08,Awaiting vendor documentation
TXN0019676,Reconciled,,2024-03-04,2023-10-19,
TXN0019677,Partially Reconciled,PO0004423,2024-06-20,,
TXN0019678,Reconciled,PO0088268,2025-12-06,,
TXN0019679,Partially Reconciled,,2024-01-21,2025-12-29,
TXN0019680,Unreconciled,,,,Pending bank confirmation
TXN0019681,Pending Reconciliation,,,2024-10-18,
TXN0019682,Reconciled,,2025-06-27,,
TXN0019683,Unreconciled,,,2025-05-24,Missing supporting documents
TXN0019684,Reconciled,PO0046177,2024-07-06,2025-09-03,
TXN0019685,Reconciled,PO0043365,2023-09-03,2023-03-15,
TXN0019686,Unreconciled,,,,Amount mismatch
TXN0019687,Reconciled,,2025-06-20,2025-04-03,
TXN0019688,Partially Reconciled,PO0015347,2025-11-02,,
TXN0019689,Pending Reconciliation,,,,
TXN0019690,Reconciled,PO0048231,2025-04-15,2023-11-12,
TXN0019691,Pending Reconciliation,,,,Amount mismatch
TXN0019692,Reconciled,,2023-09-14,,
TXN0019693,Partially Reconciled,PO0046701,2023-07-27,2023-02-26,
TXN0019694,Pending Reconciliation,,,2024-06-28,
TXN0019695,Unreconciled,,,2025-05-20,Amount mismatch
TXN0019696,Pending Reconciliation,,,,
TXN0019697,Reconciled,,2025-08-16,2024-05-14,
TXN0019698,Partially Reconciled,PO0068251,2023-07-13,2023-10-05,
TXN0019699,Partially Reconciled,,2023-09-02,,
TXN0019700,Partially Reconciled,PO0069982,2024-02-25,2025-07-28,
TXN0019701,Pending Reconciliation,,,2024-06-26,Missing supporting documents
TXN0019702,Partially Reconciled,PO0017327,2025-07-25,2025-02-01,
TXN0019703,Partially Reconciled,PO0013321,2023-05-17,,
TXN0019704,Partially Reconciled,PO0043764,2025-03-05,2024-05-29,
TXN0019705,Reconciled,,2023-09-09,,
TXN0019706,Reconciled,,2025-03-08,2024-07-05,
TXN0019707,Unreconciled,,,,Pending bank confirmation
TXN0019708,Reconciled,PO0073419,2023-07-24,2024-08-20,
TXN0019709,Partially Reconciled,PO0068709,2023-02-11,,
TXN0019710,Reconciled,PO0029941,2024-09-20,,
TXN0019711,Partially Reconciled,,2025-11-07,2025-02-12,
TXN0019712,Unreconciled,,,2024-02-20,Amount mismatch
TXN0019713,Pending Reconciliation,,,,Missing supporting documents
TXN0019714,Pending Reconciliation,,,,Amount mismatch
TXN0019715,Reconciled,PO0024091,2024-04-17,,
TXN0019716,Reconciled,PO0051513,2023-09-17,2023-11-14,
TXN0019717,Reconciled,PO0079511,2023-06-04,2024-06-04,
TXN0019718,Pending Reconciliation,,,2023-04-07,
TXN0019719,Partially Reconciled,PO0072621,2024-11-20,,
TXN0019720,Reconciled,,2023-01-25,2024-10-29,
TXN0019721,Reconciled,,2025-04-09,,
TXN0019722,Unreconciled,,,2023-09-18,
TXN0019723,Partially Reconciled,PO0045960,2024-02-09,,
TXN0019724,Unreconciled,,,2025-01-30,Pending bank confirmation
TXN0019725,Partially Reconciled,,2023-11-01,,
TXN0019726,Reconciled,PO0086504,2023-07-11,,
TXN0019727,Reconciled,,2025-08-14,2023-05-11,
TXN0019728,Pending Reconciliation,,,,
TXN0019729,Reconciled,PO0017274,2024-05-05,,
TXN0019730,Partially Reconciled,,2023-12-08,,
TXN0019731,Unreconciled,,,2025-11-19,
TXN0019732,Unreconciled,,,2024-10-06,Pending bank confirmation
TXN0019733,Reconciled,,2025-11-14,,
TXN0019734,Reconciled,PO0016326,2023-12-04,2025-10-09,
TXN0019735,Reconciled,,2025-03-29,,
TXN0019736,Reconciled,PO0019203,2024-12-16,,
TXN0019737,Partially Reconciled,,2024-01-03,2024-08-09,
TXN0019738,Pending Reconciliation,,,2024-07-26,Awaiting vendor documentation
TXN0019739,Partially Reconciled,PO0039449,2025-06-29,,
TXN0019740,Reconciled,,2025-12-17,2024-06-06,
TXN0019741,Reconciled,,2023-10-12,2023-09-16,
TXN0019742,Reconciled,PO0080048,2023-08-07,,
TXN0019743,Unreconciled,,,,Amount mismatch
TXN0019744,Reconciled,,2025-01-30,2024-11-27,
TXN0019745,Reconciled,PO0099552,2025-05-09,2024-03-29,
TXN0019746,Reconciled,PO0018246,2025-02-04,,
TXN0019747,Partially Reconciled,,2023-05-14,2023-01-24,
TXN0019748,Reconciled,PO0069947,2024-12-25,2025-04-14,
TXN0019749,Reconciled,PO0049774,2025-02-23,2024-01-06,
TXN0019750,Unreconciled,,,,Awaiting vendor documentation
TXN0019751,Unreconciled,,,,Awaiting vendor documentation
TXN0019752,Reconciled,,2025-07-31,,
TXN0019753,Reconciled,PO0042550,2025-09-28,2025-06-29,
TXN0019754,Unreconciled,,,,
TXN0019755,Pending Reconciliation,,,,Awaiting vendor documentation
TXN0019756,Unreconciled,,,,Awaiting vendor documentation
TXN0019757,Partially Reconciled,,2025-06-23,2023-06-28,
TXN0019758,Partially Reconciled,PO0036729,2025-11-03,,
TXN0019759,Pending Reconciliation,,,,
TXN0019760,Reconciled,,2024-01-28,,
TXN0019761,Reconciled,PO0025521,2024-06-30,,
TXN0019762,Reconciled,PO0096064,2025-07-28,,
TXN0019763,Reconciled,,2025-07-23,,
TXN0019764,Unreconciled,,,,
TXN0019765,Unreconciled,,,,Amount mismatch
TXN0019766,Reconciled,,2024-01-23,2025-10-22,
TXN0019767,Reconciled,,2024-08-25,,
TXN0019768,Unreconciled,,,,Pending bank confirmation
TXN0019769,Reconciled,,2024-08-28,,
TXN0019770,Reconciled,PO0067580,2023-07-09,2025-02-04,
TXN0019771,Partially Reconciled,,2024-11-17,,
TXN0019772,Reconciled,PO0024982,2023-03-22,2024-08-18,
TXN0019773,Unreconciled,,,,
TXN0019774,Pending Reconciliation,,,,Missing supporting documents
TXN0019775,Unreconciled,,,2025-03-24,Awaiting vendor documentation
TXN0019776,Pending Reconciliation,,,2025-07-29,Missing supporting documents
TXN0019777,Partially Reconciled,,2025-10-28,2025-05-30,
TXN0019778,Partially Reconciled,PO0002723,2025-11-29,2023-09-12,
TXN0019779,Reconciled,PO0062327,2024-04-13,2023-10-27,
TXN0019780,Unreconciled,,,2025-09-06,Amount mismatch
TXN0019781,Reconciled,,2024-08-06,2023-01-21,
TXN0019782,Pending Reconciliation,,,,Awaiting vendor documentation
TXN0019783,Partially Reconciled,PO0065556,2025-05-03,2023-06-04,
TXN0019784,Reconciled,PO0031086,2025-12-15,,
TXN0019785,Reconciled,,2025-01-29,,
TXN0019786,Reconciled,PO0023372,2023-01-03,,
TXN0019787,Reconciled,,2024-08-20,2023-06-21,
TXN0019788,Reconciled,PO0052738,2023-08-11,,
TXN0019789,Partially Reconciled,,2024-01-29,2024-10-16,
TXN0019790,Partially Reconciled,,2023-12-05,,
TXN0019791,Reconciled,,2025-07-30,2025-09-08,
TXN0019792,Reconciled,PO0034343,2025-09-04,,
TXN0019793,Reconciled,,2025-06-14,,
TXN0019794,Partially Reconciled,,2025-03-22,,
TXN0019795,Unreconciled,,,,Awaiting vendor documentation
TXN0019796,Reconciled,PO0047893,2023-05-20,2024-02-28,
TXN0019797,Reconciled,PO0070879,2024-02-27,2024-05-18,
TXN0019798,Reconciled,PO0064363,2023-07-25,2024-11-19,
TXN0019799,Reconciled,,2023-12-09,,
TXN0019800,Partially Reconciled,PO0013933,2024-10-22,2023-08-05,
TXN0019801,Reconciled,PO0047651,2024-06-06,2025-07-23,
TXN0019802,Pending Reconciliation,,,,
TXN0019803,Reconciled,PO0080369,2024-04-04,,
TXN0019804,Unreconciled,,,2024-12-24,Amount mismatch
TXN0019805,Pending Reconciliation,,,2025-05-17,
TXN0019806,Unreconciled,,,,Awaiting vendor documentation
TXN0019807,Partially Reconciled,PO0065138,2023-11-28,2025-03-09,
TXN0019808,Unreconciled,,,2024-11-07,
TXN0019809,Reconciled,PO0065942,2024-06-26,2025-11-13,
TXN0019810,Unreconciled,,,2025-09-07,Missing supporting documents
TXN0019811,Reconciled,,2023-08-08,2024-02-23,
TXN0019812,Reconciled,PO0015833,2024-07-09,,
TXN0019813,Partially Reconciled,,2024-06-26,2025-10-05,
TXN0019814,Pending Reconciliation,,,2023-09-30,Amount mismatch
TXN0019815,Reconciled,PO0069387,2025-04-26,2024-10-13,
TXN0019816,Reconciled,,2023-12-19,,
TXN0019817,Reconciled,,2025-02-08,2025-12-16,
TXN0019818,Reconciled,,2023-07-04,2023-12-13,
TXN0019819,Pending Reconciliation,,,2024-02-09,Missing supporting documents
TXN0019820,Reconciled,,2025-08-20,,
TXN0019821,Reconciled,PO0049542,2024-01-15,,
TXN0019822,Reconciled,PO0010683,2025-01-20,,
TXN0019823,Reconciled,,2025-11-04,2023-02-16,
TXN0019824,Pending Reconciliation,,,,
TXN0019825,Reconciled,,2024-10-02,2025-05-30,
TXN0019826,Partially Reconciled,PO0049990,2025-03-04,,
TXN0019827,Unreconciled,,,2025-10-27,Amount mismatch
TXN0019828,Partially Reconciled,PO0055628,2025-02-15,2024-01-07,
TXN0019829,Unreconciled,,,2023-06-09,Missing supporting documents
TXN0019830,Reconciled,PO0031288,2025-10-10,,
TXN0019831,Unreconciled,,,,Awaiting vendor documentation
TXN0019832,Reconciled,,2024-04-23,,
TXN0019833,Reconciled,PO0056599,2023-05-02,,
TXN0019834,Reconciled,,2023-10-22,,
TXN0019835,Partially Reconciled,,2025-11-12,,
TXN0019836,Reconciled,PO0020329,2025-02-09,,
TXN0019837,Reconciled,PO0054588,2024-03-18,,
TXN0019838,Partially Reconciled,PO0001595,2023-03-06,,
TXN0019839,Partially Reconciled,,2024-07-15,,
TXN0019840,Reconciled,,2023-03-11,2025-03-03,
TXN0019841,Reconciled,,2024-04-18,2025-02-27,
TXN0019842,Partially Reconciled,PO0053156,2025-10-10,2023-06-06,
TXN0019843,Reconciled,PO0022028,2024-10-18,,
TXN0019844,Reconciled,,2024-07-14,,
TXN0019845,Reconciled,PO0003476,2023-12-13,2024-07-29,
TXN0019846,Partially Reconciled,PO0027706,2023-06-06,2024-01-28,
TXN0019847,Partially Reconciled,PO0071489,2023-03-23,,
TXN0019848,Partially Reconciled,,2023-01-22,2024-07-21,
TXN0019849,Reconciled,PO0074425,2025-06-18,2025-11-25,
TXN0019850,Partially Reconciled,PO0087101,2025-02-21,2024-04-07,
TXN0019851,Reconciled,PO0061335,2025-12-15,,
TXN0019852,Reconciled,PO0062962,2024-03-21,,
TXN0019853,Reconciled,PO0039627,2023-01-22,2023-08-20,
TXN0019854,Pending Reconciliation,,,2023-05-19,Amount mismatch
TXN0019855,Partially Reconciled,PO0061547,2024-01-18,,
TXN0019856,Reconciled,,2025-05-16,2024-10-08,
TXN0019857,Reconciled,,2024-05-13,2023-10-06,
TXN0019858,Partially Reconciled,PO0000115,2025-06-30,2024-11-10,
TXN0019859,Partially Reconciled,,2023-08-01,,
TXN0019860,Unreconciled,,,2023-03-04,
TXN0019861,Partially Reconciled,PO0090062,2024-03-01,2024-12-12,
TXN0019862,Partially Reconciled,PO0064892,2025-07-23,,
TXN0019863,Partially Reconciled,PO0077286,2023-11-19,2023-12-12,
TXN0019864,Reconciled,,2025-05-20,,
TXN0019865,Reconciled,PO0082362,2025-03-10,2025-12-12,
TXN0019866,Pending Reconciliation,,,2025-10-26,
TXN0019867,Reconciled,,2025-07-21,2025-06-19,
TXN0019868,Reconciled,,2023-04-17,2024-11-08,
TXN0019869,Reconciled,PO0053455,2023-08-20,2025-09-26,
TXN0019870,Pending Reconciliation,,,2023-10-27,
TXN0019871,Partially Reconciled,,2023-05-26,2024-03-07,
TXN0019872,Reconciled,PO0046078,2024-11-10,2025-08-19,
TXN0019873,Reconciled,PO0060245,2025-06-10,2025-03-05,
TXN0019874,Reconciled,PO0093122,2023-02-03,,
TXN0019875,Reconciled,PO0080451,2025-08-11,2025-10-06,
TXN0019876,Reconciled,,2023-09-14,2023-07-09,
TXN0019877,Partially Reconciled,,2025-11-06,2023-05-16,
TXN0019878,Partially Reconciled,,2024-12-03,2023-02-14,
TXN0019879,Unreconciled,,,,
TXN0019880,Unreconciled,,,2025-01-28,Missing supporting documents
TXN0019881,Pending Reconciliation,,,2025-09-27,
TXN0019882,Partially Reconciled,PO0079309,2025-09-13,2024-07-10,
TXN0019883,Partially Reconciled,PO0081958,2024-05-16,,
TXN0019884,Reconciled,PO0082401,2023-05-17,2024-01-01,
TXN0019885,Unreconciled,,,2025-12-06,Pending bank confirmation
TXN0019886,Reconciled,,2024-07-05,,
TXN0019887,Reconciled,PO0021789,2024-09-19,,
TXN0019888,Unreconciled,,,,
TXN0019889,Reconciled,PO0067117,2025-09-03,2023-11-28,
TXN0019890,Reconciled,,2025-08-01,,
TXN0019891,Reconciled,PO0077157,2023-10-13,2023-08-30,
TXN0019892,Partially Reconciled,PO0096644,2025-11-29,2023-05-05,
TXN0019893,Reconciled,PO0045533,2023-06-23,2025-08-13,
TXN0019894,Partially Reconciled,PO0063014,2024-02-22,2024-03-13,
TXN0019895,Pending Reconciliation,,,2025-01-20,Pending bank confirmation
TXN0019896,Partially Reconciled,,2025-07-09,2024-08-28,
TXN0019897,Unreconciled,,,,Missing supporting documents
TXN0019898,Partially Reconciled,PO0079881,2025-12-22,,
TXN0019899,Reconciled,PO0023350,2025-04-19,,
TXN0019900,Reconciled,PO0062121,2023-07-08,,
TXN0019901,Reconciled,,2023-05-02,2024-08-22,
TXN0019902,Pending Reconciliation,,,,Amount mismatch
TXN0019903,Reconciled,,2025-02-18,2023-09-20,
TXN0019904,Reconciled,,2024-03-27,2024-02-03,
TXN0019905,Partially Reconciled,PO0027017,2025-06-11,2025-08-22,
TXN0019906,Reconciled,,2025-01-07,2025-07-12,
TXN0019907,Partially Reconciled,PO0083178,2023-06-25,,
TXN0019908,Reconciled,,2025-03-17,2025-03-06,
TXN0019909,Partially Reconciled,PO0060787,2025-03-16,,
TXN0019910,Reconciled,,2025-07-26,,
TXN0019911,Reconciled,PO0016378,2023-05-03,2024-02-26,
TXN0019912,Reconciled,,2023-08-14,2025-05-18,
TXN0019913,Reconciled,PO0055002,2023-09-27,,
TXN0019914,Reconciled,PO0061038,2024-03-09,2023-03-27,
TXN0019915,Partially Reconciled,PO0060991,2025-06-24,2025-10-04,
TXN0019916,Unreconciled,,,2025-05-03,Amount mismatch
TXN0019917,Reconciled,PO0043083,2025-11-07,2024-01-11,
TXN0019918,Reconciled,PO0062383,2025-08-04,2025-06-15,
TXN0019919,Reconciled,PO0041435,2024-02-29,2024-03-30,
TXN0019920,Reconciled,PO0023343,2024-01-27,2024-04-28,
TXN0019921,Reconciled,PO0040278,2023-07-15,2025-03-09,
TXN0019922,Reconciled,PO0097016,2025-07-08,,
TXN0019923,Unreconciled,,,2023-05-16,Missing supporting documents
TXN0019924,Reconciled,PO0076702,2024-06-19,,
TXN0019925,Reconciled,,2025-08-06,,
TXN0019926,Reconciled,,2025-04-09,2023-04-23,
TXN0019927,Unreconciled,,,2023-04-25,
TXN0019928,Partially Reconciled,,2023-06-29,2023-12-21,
TXN0019929,Reconciled,PO0083955,2023-01-18,2024-01-03,
TXN0019930,Partially Reconciled,PO0024902,2025-10-27,,
TXN0019931,Reconciled,PO0043478,2023-12-05,2024-10-15,
TXN0019932,Reconciled,,2025-09-14,2025-02-01,
TXN0019933,Partially Reconciled,PO0012129,2023-10-18,2024-09-25,
TXN0019934,Reconciled,PO0037979,2025-07-28,2025-11-04,
TXN0019935,Unreconciled,,,2023-10-09,Amount mismatch
TXN0019936,Partially Reconciled,PO0006356,2024-03-28,,
TXN0019937,Reconciled,PO0024138,2023-12-31,2023-05-19,
TXN0019938,Partially Reconciled,,2025-11-27,2023-03-19,
TXN0019939,Pending Reconciliation,,,2024-04-13,Missing supporting documents
TXN0019940,Pending Reconciliation,,,,
TXN0019941,Reconciled,,2024-03-24,2024-11-11,
TXN0019942,Reconciled,,2024-12-06,,
TXN0019943,Reconciled,PO0017552,2024-07-02,2023-08-10,
TXN0019944,Partially Reconciled,,2024-06-24,2023-05-05,
TXN0019945,Reconciled,,2023-05-03,2024-04-12,
TXN0019946,Unreconciled,,,2025-02-05,Amount mismatch
TXN0019947,Partially Reconciled,,2025-05-28,2024-02-23,
TXN0019948,Pending Reconciliation,,,2023-04-30,Missing supporting documents
TXN0019949,Reconciled,,2023-06-01,2024-02-14,
TXN0019950,Reconciled,PO0045990,2024-01-17,2024-10-23,
TXN0019951,Reconciled,PO0044372,2025-11-30,,
TXN0019952,Reconciled,PO0085955,2025-06-03,,
TXN0019953,Reconciled,,2025-09-24,2023-05-07,
TXN0019954,Unreconciled,,,2025-04-20,Amount mismatch
TXN0019955,Reconciled,PO0021207,2024-05-13,2024-10-02,
TXN0019956,Reconciled,PO0000719,2025-03-29,2023-02-28,
TXN0019957,Pending Reconciliation,,,2025-11-17,
TXN0019958,Partially Reconciled,PO0060960,2023-04-29,,
TXN0019959,Reconciled,,2024-01-04,,
TXN0019960,Reconciled,PO0082770,2025-08-09,2023-01-30,
TXN0019961,Reconciled,,2023-06-11,2024-09-19,
TXN0019962,Pending Reconciliation,,,2023-04-25,Awaiting vendor documentation
TXN0019963,Unreconciled,,,2025-11-28,Awaiting vendor documentation
TXN0019964,Reconciled,,2025-11-13,,
TXN0019965,Reconciled,,2024-10-31,2025-09-21,
TXN0019966,Reconciled,PO0066331,2023-11-02,2023-07-31,
TXN0019967,Pending Reconciliation,,,2023-07-03,Pending bank confirmation
TXN0019968,Partially Reconciled,PO0096309,2024-05-28,,
TXN0019969,Pending Reconciliation,,,2023-08-09,Amount mismatch
TXN0019970,Pending Reconciliation,,,,Amount mismatch
TXN0019971,Partially Reconciled,,2024-05-20,,
TXN0019972,Partially Reconciled,PO0083918,2023-01-15,,
TXN0019973,Partially Reconciled,,2025-12-20,2025-09-11,
TXN0019974,Reconciled,,2023-07-12,,
TXN0019975,Pending Reconciliation,,,2024-07-21,Pending bank confirmation
TXN0019976,Reconciled,,2024-04-09,,
TXN0019977,Reconciled,PO0073467,2025-03-03,,
TXN0019978,Pending Reconciliation,,,,Missing supporting documents
TXN0019979,Unreconciled,,,2023-04-24,
TXN0019980,Reconciled,PO0096230,2023-10-26,2025-04-24,
TXN0019981,Partially Reconciled,,2024-02-19,2024-08-14,
TXN0019982,Unreconciled,,,,Amount mismatch
TXN0019983,Unreconciled,,,,
TXN0019984,Reconciled,PO0083866,2025-08-18,2024-01-20,
TXN0019985,Reconciled,PO0064517,2025-06-28,,
TXN0019986,Reconciled,PO0011773,2024-11-29,,
TXN0019987,Partially Reconciled,PO0085142,2025-10-21,2024-07-21,
TXN0019988,Partially Reconciled,PO0090126,2023-05-30,,
TXN0019989,Partially Reconciled,PO0042236,2025-12-28,,
TXN0019990,Partially Reconciled,PO0027802,2025-05-20,,
TXN0019991,Partially Reconciled,PO0027525,2024-11-26,2025-02-22,
TXN0019992,Reconciled,PO0077167,2024-03-31,2025-12-26,
TXN0019993,Partially Reconciled,PO0097292,2024-01-02,2023-07-15,
TXN0019994,Pending Reconciliation,,,2025-04-24,
TXN0019995,Partially Reconciled,,2024-01-16,2024-10-25,
TXN0019996,Partially Reconciled,PO0053125,2023-12-18,2023-03-30,
TXN0019997,Reconciled,,2023-06-19,2025-06-09,
TXN0019998,Partially Reconciled,PO0095215,2024-10-03,,
TXN0019999,Unreconciled,,,,
TXN0020000,Pending Reconciliation,,,,Amount mismatch
TXN0020001,Reconciled,PO0053546,2023-10-05,2023-07-27,
TXN0020002,Partially Reconciled,PO0000393,2025-09-25,,
TXN0020003,Partially Reconciled,,2023-04-29,,
TXN0020004,Reconciled,,2023-06-24,,
TXN0020005,Reconciled,PO0045784,2025-05-22,2024-06-17,
TXN0020006,Unreconciled,,,2024-10-22,Awaiting vendor documentation
TXN0020007,Reconciled,PO0050007,2024-10-17,2023-09-18,
TXN0020008,Partially Reconciled,PO0093533,2025-03-19,2024-10-02,
TXN0020009,Reconciled,PO0036691,2025-06-01,2024-03-21,
TXN0020010,Reconciled,PO0029481,2023-09-28,2023-01-12,
TXN0020011,Reconciled,PO0029952,2024-03-28,2024-06-16,
TXN0020012,Partially Reconciled,,2023-08-05,,
TXN0020013,Pending Reconciliation,,,2024-07-28,
TXN0020014,Unreconciled,,,2025-05-17,Missing supporting documents
TXN0020015,Reconciled,PO0075496,2024-10-13,,
TXN0020016,Reconciled,PO0024300,2023-05-07,2023-05-31,
TXN0020017,Reconciled,,2024-10-31,,
TXN0020018,Reconciled,PO0073902,2023-04-08,2023-04-26,
TXN0020019,Pending Reconciliation,,,,Awaiting vendor documentation
TXN0020020,Partially Reconciled,,2023-01-02,,
TXN0020021,Reconciled,,2025-04-10,2025-06-01,
TXN0020022,Partially Reconciled,PO0036090,2024-03-10,,
TXN0020023,Reconciled,PO0018874,2023-12-20,2024-10-01,
TXN0020024,Pending Reconciliation,,,,
TXN0020025,Pending Reconciliation,,,2025-11-23,Missing supporting documents
TXN0020026,Reconciled,PO0052942,2023-07-31,,
TXN0020027,Reconciled,,2024-12-20,2023-07-05,
TXN0020028,Reconciled,,2023-09-17,2024-09-06,
TXN0020029,Reconciled,PO0005823,2025-05-02,,
TXN0020030,Reconciled,PO0023831,2024-10-20,2024-10-27,
TXN0020031,Reconciled,PO0000927,2024-05-31,2025-12-08,
TXN0020032,Reconciled,PO0072874,2023-10-17,2023-03-15,
TXN0020033,Reconciled,PO0044180,2025-04-13,,
TXN0020034,Partially Reconciled,PO0057235,2023-07-27,,
TXN0020035,Reconciled,,2024-06-22,2024-09-21,
TXN0020036,Partially Reconciled,,2025-09-27,2025-09-28,
TXN0020037,Reconciled,PO0029919,2024-12-16,,
TXN0020038,Partially Reconciled,,2024-11-09,2023-02-21,
TXN0020039,Reconciled,PO0099352,2025-05-05,,
TXN0020040,Partially Reconciled,PO0043759,2023-04-18,2023-12-03,
TXN0020041,Partially Reconciled,PO0004100,2025-10-16,2023-10-24,
TXN0020042,Reconciled,PO0007340,2023-06-18,2023-04-26,
TXN0020043,Reconciled,PO0034439,2024-04-02,2025-10-24,
