vendor_id,vendor_name,industry,country,status
V00538,Tech Center 2421,Healthcare,UK,Active
V00539,Smart Hub 3489,Energy,Germany,Active
V00540,Smart Tech 7278,Telecommunications,UK,Active
V00541,Enterprises Global 1985,Technology,UK,Active
V00542,Pro Hub 2792,Manufacturing,India,Active
V00543,Cloud Solutions 5522,Energy,Germany,Inactive
V00544,Services Hub 6736,Consulting,Canada,Inactive
V00545,Digital Global 3332,Telecommunications,India,Inactive
V00546,Digital Global 3619,Manufacturing,UK,Active
V00547,Data Tech 8896,Consulting,UK,Active
V00548,Services Smart 1967,Retail,Germany,On Hold
V00549,Pro Systems 9880,Education,India,Inactive
V00550,Data Tech 5800,Healthcare,Germany,On Hold
